date,week,Team,user_name,ao,type,points,notes
2024-11-22,3.0,Dancer,Ricochet,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-25,4.0,Dancer,Ricochet,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-27,4.0,Dancer,Ricochet,2nd-f,2ndf,3.0,F3riendsgiving at Jameson’s
2024-11-27,4.0,Dancer,Ricochet,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-28,4.0,Dancer,Ricochet,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-28,4.0,Dancer,Ricochet,3rd-f-qsource,qs,5.0,QS
2024-11-29,4.0,Dancer,Ricochet,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-29,4.0,Dancer,Ricochet,3rd-f-qsource,qs,0.0,Qsource already achieved this week
2024-12-02,5.0,Dancer,Ricochet,ao-the-grove,1stf,3.0,ao-the-grove
2024-12-03,5.0,Dancer,Ricochet,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-12-03,5.0,Dancer,Ricochet,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-06,5.0,Dancer,Ricochet,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-12-09,6.0,Dancer,Ricochet,ao-the-grove,1stf,3.0,ao-the-grove
2024-12-10,6.0,Dancer,Ricochet,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-10,6.0,Dancer,Ricochet,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-12-11,6.0,Dancer,Ricochet,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-12-13,6.0,Dancer,Ricochet,,Around The World,5.0,"('ao-ravens-nest', 'ao-el-coyote', 'ao-the-olympiad', 'ao-the-grove', 'ao-the-colosseum')"
2024-12-13,6.0,Dancer,Ricochet,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-02,0.0,Dasher,Boston Butt,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-05,1.0,Dasher,Boston Butt,ao-dmz,1stf,3.0,ao-dmz
2024-11-07,1.0,Dasher,Boston Butt,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-12,2.0,Dasher,Boston Butt,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-13,2.0,Dasher,Boston Butt,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-25,4.0,Dasher,Boston Butt,2nd-f,2ndf,3.0,Big Bear Let Down
2024-11-26,4.0,Dasher,Boston Butt,ao-dmz,1stf,3.0,ao-dmz
2024-11-29,4.0,Dasher,Boston Butt,ao-the-ridge,workout Q,1.0,Q
2024-11-29,4.0,Dasher,Boston Butt,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-04,5.0,Dasher,Boston Butt,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-05,5.0,Dasher,Boston Butt,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-12-06,5.0,Dasher,Boston Butt,2nd-f,2ndf,3.0,First Friday at Werk Force
2024-12-13,6.0,Dasher,Boston Butt,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-23,3.0,Prancer,1040EZ,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-23,3.0,Prancer,1040EZ,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-25,4.0,Prancer,1040EZ,2nd-f,2ndf,3.0,Big Bear Let Down
2024-11-26,4.0,Prancer,1040EZ,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-27,4.0,Prancer,1040EZ,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-28,4.0,Prancer,1040EZ,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-28,4.0,Prancer,1040EZ,3rd-f-qsource,qs,5.0,QS
2024-11-29,4.0,Prancer,1040EZ,3rd-f-qsource,qs,0.0,Qsource already achieved this week
2024-11-03,1.0,Dasher,Burnt Ends,2nd-f,2ndf,3.0,Bedrocking bears
2024-11-09,1.0,Dasher,Burnt Ends,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-05,1.0,Rudolph,Plunger,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-25,4.0,Rudolph,Plunger,2nd-f,2ndf,3.0,Big Bear Let Down
2024-12-13,6.0,Rudolph,Plunger,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-02,0.0,Prancer,Squidward,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-03,1.0,Prancer,Squidward,2nd-f,2ndf,3.0,Bedrocking bears
2024-11-05,1.0,Prancer,Squidward,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-05,1.0,Prancer,Squidward,ao-black-diamond,workout Q,1.0,Q
2024-11-05,1.0,Prancer,Squidward,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-06,1.0,Prancer,Squidward,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-07,1.0,Prancer,Squidward,3rd-f-qsource,qs,5.0,QS
2024-11-07,1.0,Prancer,Squidward,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-08,1.0,Prancer,Squidward,3rd-f-qsource,qs,0.0,Qsource already achieved this week
2024-11-08,1.0,Prancer,Squidward,,Around The World,5.0,"('ao-el-coyote', 'ao-black-diamond', 'ao-the-olympiad', 'ao-the-colosseum', 'ao-da-grizz')"
2024-11-08,1.0,Prancer,Squidward,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-09,1.0,Prancer,Squidward,,sixpack bonus,4.0,"('ao-el-coyote', 'ao-black-diamond', 'ao-the-colosseum', 'ao-the-olympiad', 'ao-da-grizz', 'ao-the-ridge')"
2024-11-09,1.0,Prancer,Squidward,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-12,2.0,Prancer,Squidward,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-13,2.0,Prancer,Squidward,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-14,2.0,Prancer,Squidward,3rd-f-qsource,qs,5.0,QS
2024-11-14,2.0,Prancer,Squidward,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-15,2.0,Prancer,Squidward,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-15,2.0,Prancer,Squidward,3rd-f-qsource,qs,0.0,Qsource already achieved this week
2024-11-18,3.0,Prancer,Squidward,ao-the-grove,1stf,3.0,ao-the-grove
2024-11-20,3.0,Prancer,Squidward,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-21,3.0,Prancer,Squidward,3rd-f-qsource,qs,5.0,QS
2024-11-21,3.0,Prancer,Squidward,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-22,3.0,Prancer,Squidward,3rd-f-qsource,qs,0.0,Qsource already achieved this week
2024-11-22,3.0,Prancer,Squidward,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-26,4.0,Prancer,Squidward,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-12-04,5.0,Prancer,Squidward,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-12-06,5.0,Prancer,Squidward,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-12-06,5.0,Prancer,Squidward,3rd-f-qsource,qs,5.0,QS
2024-12-13,6.0,Prancer,Squidward,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-02,0.0,Prancer,CarpetMulcher,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-05,1.0,Prancer,CarpetMulcher,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-12,2.0,Prancer,CarpetMulcher,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-17,3.0,Prancer,CarpetMulcher,2nd-f,2ndf,3.0,Bears Will Let Ya Down
2024-11-25,4.0,Prancer,CarpetMulcher,2nd-f,2ndf,3.0,Big Bear Let Down
2024-11-26,4.0,Prancer,CarpetMulcher,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-02,0.0,Prancer,LaRussa,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-03,1.0,Prancer,LaRussa,2nd-f,2ndf,3.0,Bedrocking bears
2024-11-06,1.0,Prancer,LaRussa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-08,1.0,Prancer,LaRussa,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-09,1.0,Prancer,LaRussa,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-12,2.0,Prancer,LaRussa,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-13,2.0,Prancer,LaRussa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-22,3.0,Prancer,LaRussa,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-25,4.0,Prancer,LaRussa,2nd-f,2ndf,3.0,Big Bear Let Down
2024-11-26,4.0,Prancer,LaRussa,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-27,4.0,Prancer,LaRussa,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-29,4.0,Prancer,LaRussa,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-02,0.0,Rudolph,Puddles,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-17,3.0,Rudolph,Puddles,2nd-f,2ndf,3.0,Bears Will Let Ya Down
2024-12-13,6.0,Rudolph,Puddles,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-08,1.0,Unknown Team,Speedbag (F3 Southsid3),ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-17,3.0,Unknown Team,Speedbag (F3 Southsid3),2nd-f,2ndf,3.0,Bears Will Let Ya Down
2024-11-02,0.0,Dancer,Huffy,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-03,1.0,Dancer,Huffy,2nd-f,2ndf,3.0,Bedrocking bears
2024-11-15,2.0,Dancer,Huffy,3rd-f-qsource,qs,5.0,QS
2024-11-17,3.0,Dancer,Huffy,2nd-f,2ndf,3.0,Bears Will Let Ya Down
2024-11-20,3.0,Dancer,Huffy,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-21,3.0,Dancer,Huffy,3rd-f-qsource,qs,5.0,QS
2024-11-21,3.0,Dancer,Huffy,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-22,3.0,Dancer,Huffy,3rd-f-qsource,qs,0.0,Qsource already achieved this week
2024-11-22,3.0,Dancer,Huffy,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-25,4.0,Dancer,Huffy,2nd-f,2ndf,3.0,Big Bear Let Down
2024-11-26,4.0,Dancer,Huffy,ao-el-coyote,1stf,3.0,ao-el-coyote
2024-11-27,4.0,Dancer,Huffy,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-28,4.0,Dancer,Huffy,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-28,4.0,Dancer,Huffy,3rd-f-qsource,qs,5.0,QS
2024-11-29,4.0,Dancer,Huffy,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-29,4.0,Dancer,Huffy,3rd-f-qsource,qs,0.0,Qsource already achieved this week
2024-11-02,0.0,Vixen,Picasso,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-09,1.0,Vixen,Picasso,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-15,2.0,Vixen,Picasso,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-16,2.0,Vixen,Picasso,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-23,3.0,Vixen,Picasso,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-23,3.0,Vixen,Picasso,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-26,4.0,Vixen,Picasso,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-11,6.0,Vixen,Picasso,2nd-f,2ndf,3.0,⛳️ XGolf ⛳️
2024-12-11,6.0,Vixen,Picasso,ao-ravens-nest,1stf,3.0,ao-ravens-nest
2024-11-02,0.0,Prancer,Tinder,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-07,1.0,Prancer,Tinder,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-08,1.0,Prancer,Tinder,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-14,2.0,Prancer,Tinder,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-15,2.0,Prancer,Tinder,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-20,3.0,Prancer,Tinder,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-21,3.0,Prancer,Tinder,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-22,3.0,Prancer,Tinder,ao-da-grizz,1stf,3.0,ao-da-grizz
2024-11-28,4.0,Prancer,Tinder,ao-the-olympiad,1stf,3.0,ao-the-olympiad
2024-11-28,4.0,Prancer,Tinder,3rd-f-qsource,qs,5.0,QS
2024-12-11,6.0,Prancer,Tinder,2nd-f,2ndf,3.0,⛳️ XGolf ⛳️
2024-12-11,6.0,Dasher,Dutch Boy,2nd-f,2ndf,3.0,⛳️ XGolf ⛳️
2024-12-11,6.0,Rudolph,Shameless,2nd-f,2ndf,3.0,⛳️ XGolf ⛳️
2024-12-11,6.0,Unknown Team,TRANS AM,2nd-f,2ndf,3.0,⛳️ XGolf ⛳️
2024-11-02,0.0,Olive,Den Mother,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-02,0.0,Olive,Den Mother,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-08,1.0,Olive,Den Mother,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-12,2.0,Olive,Den Mother,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-13,2.0,Olive,Den Mother,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-14,2.0,Olive,Den Mother,ao-black-diamond,1stf,4.0,ao-black-diamond
2024-11-25,4.0,Olive,Den Mother,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-28,4.0,Olive,Den Mother,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-06,5.0,Olive,Den Mother,2nd-f,2ndf,3.0,First Friday at Werk Force
2024-12-09,6.0,Olive,Den Mother,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-12-13,6.0,Olive,Den Mother,ao-the-ridge,1stf,3.0,ao-the-ridge
2024-11-20,3.0,Prancer,Heifer,ao-the-silo,1stf,3.0,ao-the-silo
2024-11-21,3.0,Prancer,Heifer,ao-the-colosseum,1stf,3.0,ao-the-colosseum
2024-11-22,3.0,Prancer,Heifer,ao-the-colosseum,1stf,3.0,ao-the-colosseum
