date,week,Team,type,points,notes
2025-07-22,2,Olive,Santa Locks,5.0,"ao-the-ridge; Bedpan, Happy Camper, Hodl, Corner Kick, Fish Tape"
2025-07-22,2,Cupid,Individuals points,10.0,"['Algorithm', 'Hot Lava']"
2025-07-23,2,Rudolph,Individuals points,15.0,"['Backstreet', 'Zimmer', 'Six Sheets', 'Moist', 'Old Maid']"
2025-07-23,2,Prancer,Individuals points,14.0,"['Scratch and Dent', 'Dilly Dilly', 'Wet Bandit', 'Sensodyne']"
2025-07-23,2,Olive,Individuals points,16.0,"['Bedpan', 'Happy Camper', 'Pop-Tart (F3 Outlands)', 'Corner Kick', 'Kickflip']"
2025-07-23,2,Donner,Individuals points,18.0,"['Morticia', 'Hackman', 'Pull-up', 'Cinderella', 'Dauber', 'Trifecta']"
2025-07-23,2,Dasher,Individuals points,36.0,"['Bronco', 'Hank Hill', 'Duck Hunt', 'vern', 'F3CrossroadsIL', 'Juanita', 'Soft Hands', 'Den Mother']"
2025-07-23,2,Comet,Individuals points,21.0,"['Foghorn', 'Sparkler', 'Flo', 'Olive Oyl', 'Celine Dion', 'Peashooter', 'Mr. Belding']"
2025-07-23,2,Cupid,Individuals points,9.0,"['Algorithm', 'Blue Gill', 'Celler Dweller']"
2025-07-23,2,Blitzen,Individuals points,15.0,"['Mahomes', 'Spit Valve', 'Caboose', 'Foreclosure', 'Napster']"
2025-07-23,2,Olive,FNGQ,7.0,Pop-Tart (F3 Outlands)
2025-07-23,2,Unknown Team,Individuals points,3.0,['Shawshank']
2025-07-23,2,Dasher,challenge_flag,1.0,Held from previous claim by Dasher - Bronco
2025-07-23,2,Dancer,Individuals points,12.0,"['Meta', '5-Putt', 'Jellystone', 'YellowPages']"
2025-07-23,2,Vixen,Individuals points,22.0,"['Cutler', 'Phoenix', 'Bunker', 'Foundation', 'Dilbert', 'SkidMark']"
